goodsID,name,type,author,page_size,origin_price,preferential_price,publisher,comments_count,favorable_rate,publish_time
11552938,现代西方学术文库：存在与虚无（修订译本）,哲学,[法] 萨特 著 陈宣良 等 译 杜小真 校,762,68.00,53.60,生活·读书·新知三联书店,5万+,0.99,2014-09-01
12057067,纯粹理性批判,哲学,康德 著 杨祖陶 校,582,69.00,58.60,人民出版社,5000+,0.99,2017-03-01
62776500884,哲学的殿堂威尔杜兰特哲学类书籍哲学通俗读物金城出版社,哲学,[美] 威尔·杜兰特 著 林冰 张涛 王润晨曦 译,536,108.00,81.00,金城出版社,20,1.0,2016-06-01
12661113,叔本华思想随笔,哲学,[德] 叔本华 著 韦启昌 译,200,65.00,64.40,上海人民出版社,2万+,0.99,2014-04-01
45844580036,菜根谭文白对照修身养性处世三大奇书之一中国处世智慧的经典不可不读的国学精髓开阔思想,哲学,[明] 洪应明 著 孔庆东 编,unknown,39.80,23.70,吉林文史出版社,2000+,0.97,2018-09-01
10026095770117,现货幸福之路罗素哲学经典心理自助如何变得幸福果麦,哲学,,unknown,48.00,24.00,天津人民出版社,200+,0.97,unknown
11309705021,作为意志和表象的世界,哲学,[德] 亚瑟·叔本华(ArthurSchopenha 著,unknown,48.00,26.70,中国华侨出版社,500+,0.99,2017-03-01
12200525,意识形态的崇高客体（第2版）/新世界新思想译丛[TheSublimeObjectofIdeology],哲学,[斯洛文尼亚] 斯拉沃热·齐泽克 著 季广茂 译,358,70.00,67.20,中央编译出版社,1000+,0.99,2017-08-01
68905733816,中国哲学自我完善书籍10册一切都是最好的安排123人生三修为人三要成功三境心灵鸡汤舍与得人生境界书籍,哲学,,unknown,383.80,85.00,中国友谊出版公司,200+,0.97,unknown
10029021224696,认识世界:古代与中世纪哲学图书,哲学,[德] 理查德·大卫·普莱希特 著,unknown,89.80,62.90,上海人民出版社,200+,1.0,2021-04-01
11201949913,【正版无删减】周易全书易经全书6册绸面精装正版原文注释译文白话版入门图解易经全书占卜八卦书籍,哲学,,unknown,710.00,98.00,光明日报出版社,1万+,0.98,2016-02-01
26634174249,风流去鲍鹏山,哲学,鲍鹏山 著,unknown,68.00,34.90,中国青年,500+,0.99,2009-01-01
10074549,李瑞环著作辩证法随谈（领导艺术，人生哲学，一部能助人修身养性的好书）,哲学,李瑞环 编,3901,36.00,30.60,中国人民大学出版社,2万+,0.99,2007-04-01
12616292,听毛泽东谈哲学,哲学,孙宝义 刘春增 邹桂兰 著,334,59.00,50.10,人民出版社,43,1.0,2019-05-01
70004741708,精装正版无删减沉思录马可奥勒留西方人生与哲学书籍,哲学,蔡新苗 译,unknown,59.00,27.80,中国华侨出版社,1000+,0.97,unknown
10027976772769,罗素经典作品集：幸福之路+哲学问题（套装2册）如何获得幸福小嘉推荐果麦出品,哲学,伯特兰·罗素 编,unknown,93.00,46.50,天津人民,500+,1.0,2020-01-01
11200125,会饮篇/汉译世界学术名著丛书,哲学,[古希腊] 柏拉图 著,unknown,12.00,9.40,商务印书馆,5万+,0.98,2013-01-01
20809925375,沉思录百读不厌的枕边书(超值精装典藏版）马可奥勒留青少版文学生存哲学经营概率智慧书,哲学,,unknown,59.00,22.00,中国华侨出版社,2000+,0.98,unknown
11355265,贺麟全集：精神现象学（套装共2册）,哲学,[德] 黑格尔 著 贺麟 王玖兴 译,676,75.00,74.20,上海人民出版社,2000+,0.99,2013-12-01
13006660,三联书店·学术前沿：福柯·规训与惩罚（修订译本）（新）,哲学,米歇尔·福柯 著,unknown,58.00,45.70,生活·读书·新知三联书店,2万+,0.99,2020-10-01
11556062,第二性（合卷本）[LedeuxièmesexeI，II],哲学,西蒙娜·德·波伏瓦（Simone de Beauvoir） 著 郑克鲁 译,949,138.00,138.00,上海译文出版社,2万+,0.99,2014-11-01
12051128,康德三大批判合集（注释版套装上下卷）,哲学,[德] 康德 著 李秋零 译,972,148.00,119.90,中国人民大学出版社,2000+,0.99,2016-09-01
13199124,作为意志和表象的世界(汉译名著本),哲学,[德] 叔本华 著 石冲白 译,736,68.00,51.00,商务印书馆,2万+,0.98,1982-11-01
13212490,庄子说什么（生活不如意，庄子出主意！哲学教授韩鹏杰《庄子》名篇15讲，樊登作序倾情推荐）,哲学,果麦文化 出品 韩鹏杰 著,unknown,78.00,78.00,江西人民出版社,2万+,0.99,2021-04-01
54883800575,西方哲学史全二册,哲学,[英] 勃特兰·罗素(BertrandRussell 著,unknown,128.00,49.90,煤炭工业出版社,1000+,0.99,2019-08-01
12021389,皇极经世书（套装全3册）,哲学,[宋] 邵雍 著 郭彧 于天宝 校,1594,198.00,198.00,上海古籍出版社,2000+,0.99,2016-12-01
12693146,小逻辑,哲学,[德] 黑格尔 著 贺麟 译,438,56.00,44.20,商务印书馆,5万+,0.99,2019-08-01
10024691816607,道德经说什么共4册,哲学,罗大伦 著 徐樟 编,unknown,319.60,139.50,北京联合,100+,1.0,2020-11-01
13030522,福柯作品精选（全3册）,哲学,福柯 著,unknown,176.00,130.40,生活·读书·新知三联书店,2万+,0.99,2020-11-01
10026583640797,樊登讲论语全二册先进+学而,哲学,樊登 著,unknown,140.00,84.50,北京联合出版社等,200+,0.98,2020-11-01
12555489485,幸福的勇气"自我启发之父"阿德勒的哲学课2,哲学,[日] 岸见一郎 [日] 古贺史健 著,unknown,55.00,35.99,机械工业出版社,2000+,0.99,2020-01-01
12120555,【善品堂藏书】王蒙讲说《道德经》签名版一函四册老子正版宣纸线装书国学古籍经典全套全集原文注释,哲学,王蒙 著,unknown,1960.00,1568.00,人民文学出版社,26,1.0,2014-08-01
10026579428862,【善品堂藏书】素书手工宣纸线装1函2册简体竖排素书精注精译精评解读智慧黄石公著江力注译评素书文白,哲学,,unknown,460.00,230.00,线装书局,33,1.0,unknown
12218950,【善品堂藏书】王阳明哲学的精神（有无之境）一函三册知行合一心学传习录哲学全书宣纸线装书国学古籍书籍,哲学,陈来 著,604,760.00,542.90,北京大学出版社,100+,0.97,2016-12-01
48450742751,牛津通识读本全套（中英双语套装共102册）系列哲学艺术数学现代拉丁美洲文学古典文学,哲学,,unknown,3990.00,2180.00,译林出版社,55,1.0,2019-04-30
1029105956,中国哲学史典藏版全二册,哲学,冯友兰 著,unknown,138.00,59.90,古吴轩出版社,1000+,0.97,2011-07-01
10254551,人生中不可不想的事,哲学,克里希那穆提 叶文可 著,287,30.00,30.00,深圳报业集团出版社,1万+,0.97,2010-03-01
10024446152563,全10册樊登次第花开正版包邮透过佛法看世界断舍离人生智慧哲学海南出版社藏人精神希阿荣博堪布的书,哲学,,unknown,383.80,49.80,吉林文史出版社,500+,0.98,unknown
10031438560269,用得上的哲学(破解日常难题的99种思考方法)徐英瑾著理想国新书,哲学,,unknown,88.00,66.00,上海三联出版社,62,1.0,unknown
